City, Latitude, Longitude
München, 48.135124, 11.581981 
Aachen, 50.775345, 6.083887
Dresden, 51.050407, 13.737262
Trier, 49.749992, 6.637143
Flensburg, 54.780239, 9.432900
Berlin, 52.520008, 13.404954
Leipzig, 51.339695, 12.373075
Vaduz, 47.141041, 9.521450
Ludwigshafen, 49.477409, 8.445180
Augsburg, 48.370544, 10.897790
Wernigerode, 51.838150, 10.790390
Stralsund, 54.313990, 13.085800
Wallis, 46.256130, 7.624600
Nordhausen, 51.503740, 10.793720
Fulda, 50.553890, 9.674310
Krefeld, 51.331700, 6.559350
Wismar, 53.897942, 11.451602 
Wildau, 52.326015, 13.626561
Worms, 49.630640, 8.357910
Pforzheim, 48.893379, 8.704930
Friedberg, 50.336730, 8.753530 
Regensburg, 49.013432, 12.101624
Luzern, 47.045540, 8.308010
Brandenburg, 52.131393, 13.216249
Aschaffenburg, 49.973019, 9.149010
Hamburg, 53.551086, 9.993682
Karlsruhe, 49.0068901, 8.4036527 
